(-0.013833693216146439, 0.0)
(-0.013840406807634287, 0.0)
(-0.018695530463581893, 0.1670794039964676)
(-0.027394096729343016, -0.10216320306062698)
(-0.037775068172221336, 0.08620020002126694)
(-0.046770696414419756, 0.05533840134739876)
(-0.07038191132889403, -0.03618279844522476)
(-0.07969280133339336, 0.0840718001127243)
(-0.09009703848044869, 0.0)
(-0.11381449759190626, 0.14685960114002228)
(-0.12348264922461381, -0.017027199268341064)
(-0.12401443054021416, 0.09364960342645645)
(-0.14084845742441204, 0.014898800291121006)
(-0.15667370669095648, -0.06385199725627899)
(-0.1316681359084699, -0.19155600666999817)
(-0.12795153251631874, 0.043632201850414276)
(-0.12867755475522838, -0.12131880223751068)
(-0.10255090679793132, 0.0713014006614685)
(-0.10933627701471549, -0.07449399679899216)
(-0.12719901419939297, -0.056402601301670074)
(-0.10036764916972174, -0.09897059947252274)
(-0.08148069125500114, -0.09152120351791382)
(-0.0666686625527589, -0.0063852001912891865)
(-0.06083878393235095, -0.06917300075292587)
(-0.028685948383030454, -0.103227399289608)
(-0.022938636213241523, 0.012770400382578373)
(-0.026333123895767672, 0.08939280360937119)
(-0.016888440107823487, -0.029797600582242012)
(4.4669181113846064e-05, -0.02128399908542633)
(-0.005640840406369172, 0.06278780102729797)
(-0.005390459202197557, 0.038311198353767395)
(-0.01872690654657867, 0.050017401576042175)
(-0.025117321850536098, 0.020219799131155014)
(-0.014999306089109586, -0.026605000719428062)
(-0.003958564327429775, 0.031925998628139496)
(-0.008745592746577659, 0.04043959826231003)
(-0.010170184910320563, -0.014898800291121006)
(-0.013889924910076961, 0.020219799131155014)
(-0.022827135188531997, 0.035118598490953445)
(-0.030689669854755002, 0.01809139922261238)
(-0.03438159239240285, -0.02128399908542633)
(-0.02803091605356264, -0.038311198353767395)
(-0.01701383652242991, -0.02128399908542633)
(-0.015225455092875722, -0.015962999314069748)
(-0.017921029255965153, 0.020219799131155014)
(-0.020757176580526806, 0.0)
(-0.021848382356175755, 0.012770400382578373)
(-0.025080742711004845, 0.015962999314069748)
(-0.02639883329534949, 0.008513599634170532)
(-0.028969789598109467, 0.007449400145560503)
(-0.031939694482348284, 0.0)
(-0.03535789135037174, 0.008513599634170532)
(-0.042069907842000244, 0.01383460033684969)
(-0.0494537994845863, 0.014898800291121006)
(-0.05365879442227969, 0.0)
(-0.05700651663642185, -0.01383460033684969)
(-0.056877212020662614, -0.008513599634170532)
(-0.05077876063489017, -0.028733400627970695)
(-0.04440808019786092, -0.04256799817085266)
(-0.033631475325834014, -0.026605000719428062)
(-0.028904923409515004, 0.0)
(-0.026981107915412274, -0.014898800291121006)
(-0.02560292706372275, -0.005320999771356583)
(-0.02514227698742015, -0.012770400382578373)
(-0.024758523029081797, 0.0)
(-0.02564153088930429, 0.0)
(-0.026714809685511348, 0.007449400145560503)
(-0.027097743004113158, 0.0)
(-0.02905474673574203, 0.0)
(-0.029657375045577153, -0.0063852001912891865)
(-0.030761170036852095, 0.0)
(-0.030547635005193387, 0.0)
(-0.03299867716892455, 0.008513599634170532)
(-0.03433152541974122, 0.0)
(-0.03402639770608814, 0.0)
(-0.0340139940380975, 0.0)
(-0.035804859526172385, 0.005320999771356583)
(-0.03845095076096412, -0.005320999771356583)
(-0.03982279432374729, 0.0)
